AIFT-Forge	20260626-231954	android:apk:collect	npm --workspace apps/android run apk:collect
AIFT-Forge	20260626-231954	android:build	npm --workspace apps/android run build
AIFT-Forge	20260626-231954	android:open	npm --workspace apps/android run open
AIFT-Forge	20260626-231954	android:sync	npm --workspace apps/android run sync
AIFT-Forge	20260626-231954	api:dev	node apps/forge-api/server.mjs
AIFT-Forge	20260626-231954	build	node scripts/aift-build-check.mjs
AIFT-Forge	20260626-231954	deps:doctor	node scripts/aift-platform-deps.mjs doctor
AIFT-Forge	20260626-231954	deps:install	node scripts/aift-platform-deps.mjs install
AIFT-Forge	20260626-231954	deps:manifest	node scripts/aift-dependency-manifest.mjs
AIFT-Forge	20260626-231954	deps:profile	node scripts/aift-platform-deps.mjs profile
AIFT-Forge	20260626-231954	desktop:build:win	npm --workspace apps/desktop run build:win
AIFT-Forge	20260626-231954	desktop:dev	npm --workspace apps/desktop run dev
AIFT-Forge	20260626-231954	format	prettier --write .
AIFT-Forge	20260626-231954	format:check	prettier --check .
AIFT-Forge	20260626-231954	license:check	license-checker-rseidelsohn --summary --production
AIFT-Forge	20260626-231954	lint	eslint .
AIFT-Forge	20260626-231954	qa:deps	npm run deps:manifest && npm run verify && npm run readiness
AIFT-Forge	20260626-231954	qa:local	npm run qa:deps && npm test && npm run lint && npm run smoke:git-access && npm run smoke:git-live && npm audit --audit-level=high && npm run web:build && npm run license:check
AIFT-Forge	20260626-231954	readiness	node scripts/aift-forge-readiness.mjs
AIFT-Forge	20260626-231954	sbom	cyclonedx-npm --output-file dist/aift-forge-sbom.json
AIFT-Forge	20260626-231954	smoke:git-access	node scripts/smoke-git-access.mjs
AIFT-Forge	20260626-231954	smoke:git-live	node scripts/smoke-live-git-client.mjs
AIFT-Forge	20260626-231954	test	vitest run
AIFT-Forge	20260626-231954	test:e2e	playwright test
AIFT-Forge	20260626-231954	test:unit	vitest run
AIFT-Forge	20260626-231954	typecheck	node scripts/aift-typecheck-check.mjs
AIFT-Forge	20260626-231954	verify	node scripts/verify-forge-structure.mjs
AIFT-Forge	20260626-231954	web:build	npm --workspace apps/product-web run build
AIFT-Forge	20260626-231954	web:dev	npm --workspace apps/product-web run dev
AIFT-Forge	AIFT-Forge	build	node scripts/aift-build-check.mjs
